
================================================================================
FAST MODBUS RTU SCAN
================================================================================

FUNCTION CODE 3

FC=3  REG=0     RAW=11274  BIN=0010110000001010
FC=3  REG=1     RAW=20992  BIN=0101001000000000
FC=3  REG=2     RAW=3841   BIN=0000111100000001
FC=3  REG=3     RAW=0      BIN=0000000000000000
FC=3  REG=4     RAW=0      BIN=0000000000000000
FC=3  REG=5     RAW=4361   BIN=0001000100001001
FC=3  REG=6     RAW=1      BIN=0000000000000001
FC=3  REG=7     RAW=1      BIN=0000000000000001
FC=3  REG=8     RAW=298    BIN=0000000100101010
FC=3  REG=9     RAW=0      BIN=0000000000000000
FC=3  REG=10    RAW=0      BIN=0000000000000000
FC=3  REG=11    RAW=0      BIN=0000000000000000
FC=3  REG=256   RAW=264    BIN=0000000100001000
FC=3  REG=257   RAW=0      BIN=0000000000000000
FC=3  REG=258   RAW=0      BIN=0000000000000000
FC=3  REG=259   RAW=0      BIN=0000000000000000
FC=3  REG=260   RAW=264    BIN=0000000100001000
FC=3  REG=261   RAW=0      BIN=0000000000000000
FC=3  REG=262   RAW=0      BIN=0000000000000000
FC=3  REG=263   RAW=0      BIN=0000000000000000
FC=3  REG=264   RAW=264    BIN=0000000100001000
FC=3  REG=265   RAW=0      BIN=0000000000000000
FC=3  REG=266   RAW=0      BIN=0000000000000000
FC=3  REG=267   RAW=0      BIN=0000000000000000
FC=3  REG=768   RAW=20     BIN=0000000000010100
FC=3  REG=769   RAW=65036  BIN=1111111000001100
FC=3  REG=770   RAW=1100   BIN=0000010001001100
FC=3  REG=771   RAW=0      BIN=0000000000000000
FC=3  REG=772   RAW=0      BIN=0000000000000000
FC=3  REG=773   RAW=0      BIN=0000000000000000
FC=3  REG=774   RAW=0      BIN=0000000000000000
FC=3  REG=775   RAW=0      BIN=0000000000000000
FC=3  REG=776   RAW=0      BIN=0000000000000000
FC=3  REG=777   RAW=0      BIN=0000000000000000
FC=3  REG=778   RAW=0      BIN=0000000000000000
FC=3  REG=779   RAW=1      BIN=0000000000000001
FC=3  REG=780   RAW=0      BIN=0000000000000000
FC=3  REG=781   RAW=100    BIN=0000000001100100
